page_url,title,type,question_id,forecast_type,activity,sub_question_label,conditioned_on,active,median,resolution_criteria,fine_print,fan_graph,custom_group,lower_bound,upper_bound,deriv_ratio,resolution
N/A,Will China launch a full-scale invasion of Taiwan by the following years?,N/A,11480,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Russia have significantly expanded its controlled territory in Ukraine on January 1, 2026?",N/A,19724,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Iran carry out a deadly attack within Israel before September 1, 2024?",N/A,26859,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Before July 1, 2024, will the International Criminal Court issue arrest warrants for any of the listed Israeli leaders?",N/A,23018,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Israel carry out a deadly attack within Iran before May 1, 2024?",N/A,22403,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Israel expand its ground invasion to the city of Rafah before June 1, 2024?",N/A,22298,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Iran carry out a deadly attack within Israel before May 1, 2024?",N/A,22161,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Israel expand its ground invasion to the city of Rafah on or before the first day of Ramadan (before March 12, 2024)?",N/A,21438,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will there be 1000 or more deaths due to armed conflict between Israel and Hezbollah before 2025?,N/A,21320,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will the November 2023 Israel-Hamas humanitarian pause be extended?,N/A,20063,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will there be United Nations peacekeeping troops in Gaza on May 31, 2024?",N/A,19849,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will the International Criminal Court bring charges against Benjamin Netanyahu before 2026?,N/A,19824,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will western sources conclude, before 2025, that Israel has used white phosphorus improperly?",N/A,19810,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Israel use nuclear weapons in combat before October 7, 2024?",N/A,19554,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Israel launch a large-scale ground offensive into Gaza before November 1, 2023?",N/A,19492,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will Western institutions determine Israel was responsible for the attack on the Al-Ahli Baptist Hospital in Gaza City before 2024?,N/A,19467,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will the US and Iran be primary actors on opposite sides of a war before 2025?,N/A,19444,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will there be a non-test nuclear detonation in Iran before 2025?,N/A,19386,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will there be 400 or more deaths due to armed conflict between Israel and Hezbollah before 2024?,N/A,19375,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Before 2024, will the US government state that Iran likely helped Hamas plan the October 7 attack on Israel?",N/A,19350,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will Yahya Sinwar cease to act as Hamas Chief in the Gaza Strip before 2024?,N/A,19333,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will Israel carry out and explicitly acknowledge a deadly attack on Iran before 2024?,N/A,19332,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will Hamas lose control of Gaza before 2024?,N/A,19308,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will Saudi Arabia establish diplomatic relations with Israel before January 20, 2025?",N/A,17990,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will a military conflict between Egypt and Israel cause 1,000 or more deaths before 2030?",N/A,15102,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,"Will state-based conflict between Israel and Iran cause at least 1,000 deaths before 2025?",N/A,14899,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
N/A,Will there be ≥ 100 deaths due to conflict between Israel and Hezbollah before 2030?,N/A,7966,{},N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,{},{},{},{}
